material_id,alloy_name,elastic_modulus,bulk_modulus,shear_modulus,density,formation_energy,elements,num_elements,nsites,source
mp-1216445,V9Cr3B8,503.0477877008343,271.858,211.081,6.109289796062954,-0.716320149999999,"B,Cr,V",3,20,Materials Project
mp-12743,CrTe4Au,46.529711799891246,26.69,19.236,7.347638329501319,-0.42683443611111205,"Au,Cr,Te",3,6,Materials Project
mp-2468835,Li7B18O,222.38498568671497,129.576,91.595,1.804168653851141,-0.41602970897435904,"B,Li,O",3,26,Materials Project
mp-675334,LiTi2O4,279.5350574659254,168.606,114.219,4.080888444935629,-3.102839674285714,"Li,O,Ti",3,7,Materials Project
mp-607475,Zr4In5Co2,130.3013589374394,84.627,52.398,7.8786260953687695,-0.40129995090909304,"Co,In,Zr",3,11,Materials Project
mp-8677,ZrTiTe4,28.40547595097594,14.309,12.148,5.889721682288764,-0.932106601944449,"Te,Ti,Zr",3,6,Materials Project
mp-1069604,CaSi3Pt,124.38115336481503,103.918,47.82,6.022340464506421,-0.6844212309999981,"Ca,Pt,Si",3,5,Materials Project
mp-11269,BaSn3Pd,61.50703550939612,55.006,23.411,7.253140734671712,-0.6468947850000021,"Ba,Pd,Sn",3,5,Materials Project
mp-11879,BaNiSn3,77.53750867929818,46.496,31.724,7.115072161549863,-0.47532961299999804,"Ba,Ni,Sn",3,5,Materials Project
mp-13121,CeGe3Rh,106.91493613222515,95.273,40.715,7.8529333493713995,-0.6881033349999971,"Ce,Ge,Rh",3,5,Materials Project
mp-30805,SrNiSn3,64.24635150862794,51.162,24.888,6.788303555444901,-0.43511277900000206,"Ni,Sn,Sr",3,5,Materials Project
mp-14625,NdCoGe3,133.93836587327164,92.959,53.156,7.734612565404422,-0.5622354905,"Co,Ge,Nd",3,5,Materials Project
mp-29308,Na5Co2S5,37.752786295035975,33.706,14.373,2.682854917730745,-0.8902648180642371,"Co,Na,S",3,12,Materials Project
mp-22346,BaGe3Pt,102.45819249768564,74.417,40.321,8.394102908482864,-0.632367121,"Ba,Ge,Pt",3,5,Materials Project
mp-30433,BaSn3Pt,70.05155845996715,60.919,26.771,8.375358179643245,-0.681184819000002,"Ba,Pt,Sn",3,5,Materials Project
mp-2914,LaSi3Ir,171.55408304742684,122.782,67.694,7.598248318238721,-0.861072935,"Ir,La,Si",3,5,Materials Project
mp-30834,SrSn3Pd,37.28046495936206,56.392,13.412,6.927141914522925,-0.5791159990000041,"Pd,Sn,Sr",3,5,Materials Project
mp-19973,LaCoGe3,135.841863184547,86.372,54.869,7.454803187751436,-0.5843099109999991,"Co,Ge,La",3,5,Materials Project
mp-978987,SrGe3Pd,70.30430335540116,70.823,26.34,6.62020916287034,-0.552342466999999,"Ge,Pd,Sr",3,5,Materials Project
mp-972659,SmCoSi3,183.99127856976466,136.209,72.161,6.133592956307194,-0.623150037000001,"Co,Si,Sm",3,5,Materials Project
mp-559264,Bi2PdO4,60.75532883767462,36.71,24.815,8.218741942266078,-1.324995631428572,"Bi,O,Pd",3,14,Materials Project
mp-1025028,PrSiAg,69.84196954950941,79.699,25.792,6.572028760143456,-0.441876382777776,"Ag,Pr,Si",3,6,Materials Project
mp-11511,LaAlGe,115.88907450658913,70.446,47.27,5.6109858632477945,-0.808275546666666,"Al,Ge,La",3,6,Materials Project
mp-2468815,LiCoS2,84.08024109539939,80.565,31.703,3.615557362948957,-0.9404273420833321,"Co,Li,S",3,8,Materials Project
mp-28665,NdSi2Ru,159.94088908884538,125.248,62.129,6.764223152831413,-0.8944711093750001,"Nd,Ru,Si",3,8,Materials Project
mp-28795,LaSi2Ru,152.18883108454068,118.955,59.136,6.425310826699686,-0.8042372562500011,"La,Ru,Si",3,8,Materials Project
mp-29088,Sr3(GeN)2,76.16519577122247,50.267,30.528,4.616947034225405,-0.7668531057142841,"Ge,N,Sr",3,14,Materials Project
mp-29154,Hf2CoP,223.23505984522362,171.95,86.955,11.637788142175975,-0.935349421994047,"Co,Hf,P",3,8,Materials Project
mp-29153,Zr2NiP,210.76923426480982,157.834,82.497,6.769401587208208,-0.9918962599107141,"Ni,P,Zr",3,8,Materials Project
mp-29152,Zr2CoP,203.33836568351555,158.429,79.053,6.813145529403653,-0.9267144636607141,"Co,P,Zr",3,8,Materials Project
