alloy_name,elastic_modulus,composition,phases,yield_strength,ultimate_strength,hardness,elongation,density,mixing_entropy,mixing_enthalpy,valence_electron,year,notes,source
LiRh2Pb,137.25693,,,,,,,11.279915202089324,,,,,,Materials Project
HfInCu2,137.40753,,,,,,,10.940493800385012,,,,,,Materials Project
TmMgRh2,137.43753,,,,,,,9.844379915377512,,,,,,Materials Project
HfTaW,137.59,,,,,,,,,,,,,Refractory HEA Elastic Constants
CuNiCoFeMnSn0.1,137.6,,,,,,,,13.9217405784103,0.947357335660799,8.90204,,,DOE/OSTI
Yb(CuSi)2,137.61415,,,,,,,7.831834184217288,,,,,,Materials Project
HfNbW2,137.62,,,,,,,,,,,,,Refractory HEA Elastic Constants
TbAl2Ni,137.6811,,,,,,,6.336766090673093,,,,,,Materials Project
Sr(CuSi)2,137.7382,,,,,,,5.221344633540451,,,,,,Materials Project
Mg2Cu3Si,137.7735,,,,,,,5.313903824023601,,,,,,Materials Project
TbFeSi,137.79704,,,,,,,7.649144101542803,,,,,,Materials Project
EuAl3Cu2,137.83583,,,,,,,5.773973319994086,,,,,,Materials Project
CsTi6O12,137.85469,,,,,,,4.3071248616718,,,,,,Materials Project
U2IrC2,137.89403,,,,,,,15.06205958140436,,,,,,Materials Project
CuNi2FeCrAl0.2,137.9,,,,,,,,12.0057998788327,-1.3071297930616,8.76933,,,DOE/OSTI
MoTa3,137.95,,,,,,,,,,,,,Refractory HEA Elastic Constants
MoTiVW,137.98,,,,,,,,,,,,,Refractory HEA Elastic Constants
Al3.0CoCrCuFe,138.0,,BCC,,,644.0,,5.4,,,,,,Gorsse
YAlGe,138.07172,,,,,,,5.154441775451049,,,,,,Materials Project
MgCu2O3,138.2407,,,,,,,5.332294341983084,,,,,,Materials Project
TlCdRh2,138.25432,,,,,,,12.81456935680114,,,,,,Materials Project
TiCu3,138.29855,,,,,,,7.862372846596318,,,,,,Materials Project
Li2CuBiO4,138.3919,,,,,,,6.580184128144283,,,,,,Materials Project
TiZnCu2,138.44447,,,,,,,7.637160688020351,,,,,,Materials Project
DyB2Rh2C,138.68213,,,,,,,8.947638587360284,,,,,,Materials Project
MoTiZr,138.74,,,,,,,,9.13436260647717,-4.2763589159832,4.66662,,,DOE/OSTI
Eu2CuO4,138.81633,,,,,,,7.8892166747334755,,,,,,Materials Project
TiAlPt,138.93462,,,,,,,9.812179895662483,,,,,,Materials Project
Hf2Al,138.98096,,,,,,,10.543519126838898,,,,,,Materials Project
HfMoNbZrTi,139.0,,BCC,1803.0,1719.0,,10,8.7,,,,,,Gorsse
Ba(FeP)2,139.08212,,,,,,,5.795116778056029,,,,,,Materials Project
MnV3,139.09158,,,,,,,6.984606346736168,,,,,,Materials Project
Er(SiPd)2,139.10301,,,,,,,8.658722916170975,,,,,,Materials Project
CuNi2FeCrAl0.8,139.15,,,,,,,,12.8841792949467,-9.38340788032639,8.17233999999999,,,DOE/OSTI
MoNbWTiCr,139.16,,,,,,,,,,,,,Refractory HEA Elastic Constants
Ca(CuSi)2,139.18764,,,,,,,4.622028412165114,,,,,,Materials Project
Sc2TcPd,139.21968,,,,,,,7.123368974702934,,,,,,Materials Project
TmCdRh2,139.24257,,,,,,,11.601446734053589,,,,,,Materials Project
YMnSi,139.29192,,,,,,,5.144117861327769,,,,,,Materials Project
Y(SiPd)2,139.44193,,,,,,,6.994409284249737,,,,,,Materials Project
Ba2ZnReO6,139.44391,,,,,,,7.462941895006575,,,,,,Materials Project
CaAl9Co2,139.47739,,,,,,,3.267635662590073,,,,,,Materials Project
SrAl9Co2,139.49893,,,,,,,3.585640774070307,,,,,,Materials Project
CuNiCoFeMnSn0.2,139.5,,,,,,,,14.2224212170634,0.175406197156799,8.80779,,,DOE/OSTI
SnHgO3,139.5083,,,,,,,8.970404073787693,,,,,,Materials Project
CeCdNi4,139.60211,,,,,,,9.399934918630317,,,,,,Materials Project
DyAl2Ni,139.64212,,,,,,,6.504157049145774,,,,,,Materials Project
Co3(SnS)2,139.67174,,,,,,,7.350991392042953,,,,,,Materials Project
Ba2Ga2O5,139.77219,,,,,,,6.185061163709624,,,,,,Materials Project
Mo2NbV,139.78,,,,,,,,,,,,,Refractory HEA Elastic Constants
LiAl2Ir,139.78603,,,,,,,7.805179437674647,,,,,,Materials Project
ThSnRu2,139.80067,,,,,,,11.801633787048637,,,,,,Materials Project
Sc2AlC,139.9101,,,,,,,3.024334287064389,,,,,,Materials Project
Bi2AuO5,139.95,,,,,,,10.695889663223916,,,,,,Materials Project
Al2.8CoCrCuFe,140.0,,BCC,,,657.0,,5.5,,,,,,Gorsse
Ho(SiPd)2,140.10818,,,,,,,8.562398088561833,,,,,,Materials Project
Sr(FeP)2,140.275,,,,,,,5.326426022250456,,,,,,Materials Project
TmZnRh2,140.27605,,,,,,,11.45121098199067,,,,,,Materials Project
Y3PbC,140.2951,,,,,,,6.81867813360989,,,,,,Materials Project
Dy2IrRu,140.41373,,,,,,,13.182612532729207,,,,,,Materials Project
HoCuGe,140.41518,,,,,,,9.065437933337051,,,,,,Materials Project
TiCuSn,140.58562,,,,,,,7.62779007867717,,,,,,Materials Project
Dy(SiPd)2,140.63716,,,,,,,8.467827797972193,,,,,,Materials Project
ZnOsO3,140.69325,,,,,,,8.520269119854007,,,,,,Materials Project
MoTaVW,140.75,,,,,,,,,,,,,Refractory HEA Elastic Constants
TiCu4,140.76077,,,,,,,8.134100168275264,,,,,,Materials Project
Ti2GaCo,140.82776,,,,,,,6.4937174293707365,,,,,,Materials Project
Tb(SiPd)2,140.83643,,,,,,,8.355637255152175,,,,,,Materials Project
ErGaRh2,140.89511,,,,,,,11.41341845399334,,,,,,Materials Project
MoTiW2,140.95,,,,,,,,,,,,,Refractory HEA Elastic Constants
Ca(BRh)2,140.96194,,,,,,,6.16818022063612,,,,,,Materials Project
NiGePd,141.00877,,,,,,,9.749645747350275,,,,,,Materials Project
ScSnPt,141.0136,,,,,,,10.151360587247632,,,,,,Materials Project
MnAlNi2,141.02733,,,,,,,6.908198035527464,,,,,,Materials Project
PrSi2Ag,141.0513,,,,,,,6.355675614111812,,,,,,Materials Project
Ba2NdCu3O7,141.0689,,,,,,,6.532421108031168,,,,,,Materials Project
TmScRu2,141.09314,,,,,,,9.928253882566947,,,,,,Materials Project
CuNiCoFeCrAl0.5V0.2,141.1,,,,,,,,15.4462064517097,-5.6908586949264,8.15797,,,DOE/OSTI
CuNiCoFeMn,141.1,,,,,,,,13.3816113591719,1.78175999999999,9.0,,,DOE/OSTI
